MES,ANYO,IDSEC,ORDEN_VIAJE,ORDEN_REP,CCAADEST,PROVDEST,PAISDEST,DESTESP,MOTIV,TIPOVIAJ,NPERNOC,NPERNOC_CORR,VIAJA_SOLO,VIAJA_PAREJA,VIAJA_HIJOS,VIAJA_OTROSFAMILIARES,VIAJA_AMIGOS,VIAJA_COMPTRABAJO,ALOJAPRIN,NESTR_PPAL,TRANSPRIN,LOW_COST,AVE,PAQUETE,PAQ_TRANSP,PAQ_ALOJA,PAQ_COMBEB,PAQ_ACT,BLOQUE_ETAPAS,IMPU_PARCIAL,PAGO_ALOJA,PAGO_TRANS,PAGO_MANUT,GASTO_PAQ,GASTOFI_PAQ,GASTO_ALOJA,GASTOFI_ALOJA,GASTO_TRANS,GASTOFI_TRANS,GASTO_BAREST,GASTOFI_BAREST,GASTO_ACT,GASTOFI_ACT,GASTO_BIENDUR,GASTOFI_BIENDUR,GASTO_RESTO,GASTOFI_RESTO,GASTOFI_TOTAL,ACTI_GOLF,ACTI_DEPOR,ACTI_NAVEGA,ACTI_OTROSNAUTICOS,ACTI_CAZA,ACTI_SENDER,ACTI_AVENTURA,ACTI_CABALLO,ACTI_OTROSDEPORTES,ACTI_ESPECDEPOR,ACTI_VISITASCULTU,ACTI_ESPECULTU,ACTI_OTRASCULTU,ACTI_CIUDADES,ACTI_RURALES,ACTI_TEMATICOS,ACTI_RELAX,ACTI_JUEGOS,ACTI_GASTRO,ACTI_DIVER,ACTI_RELIGION,ACTI_CONGRESOS,ACTI_AREASNATU,ACTI_PLAYA,ACTI_FAMILIA,ACTI_COMPRAS,GRADO_SATISF,FIDELIDAD_DEST,MIEMV,MIEMV_15MAS,MIEMV_15MENOS,SEXO,EDAD,CCAA_RESIDENCIA,TAMAMU,URBA,PAISNAC,NACION,PAISNACIO,ECIVIL,CONV,NIVELEST,RELAECON,MH,INGR_HOG,CORR15_VT,FACTORVI_15MAS,FACTORVI_TOT,FACTORGAS_TOT
02,2015,03426,02,01,15,31,108,1,03,02,1,1,0,1,0,0,0,0,05,,05,,,6,,,,,6,1,,,,6,0,1,"27,56",1,"15,2",1,"25,62",6,0,6,0,6,0,"68,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,2,040,16,3,2,1,1,1,2,1,4,1,2,4,1,"2132,064909","2132,064909","2132,064909"
02,2015,03427,01,01,08,45,108,1,07,02,1,1,1,0,0,0,0,0,10,,05,,,6,,,,,6,1,,,,6,0,6,0,1,"54,81",6,0,6,0,6,0,6,0,"54,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,052,13,1,1,1,1,1,2,1,4,1,4,5,1,"3095,056506","3095,056506","3095,056506"
02,2015,03429,01,01,00,00,001,6,08,10,18,18,1,0,0,0,0,0,11,,01,1,,6,,,,,6,6,,,,6,0,6,0,1,"891,41",6,0,6,0,6,0,6,0,"891,41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,1,1,0,2,061,04,1,1,1,1,1,3,3,4,3,1,2,1,"250,80768","250,80768","250,80768"
02,2015,03431,01,01,16,48,108,1,08,02,2,2,1,0,0,0,0,0,11,,10,,6,6,,,,,6,6,,,,6,0,6,0,1,"92,66",1,"97,63",6,0,6,0,6,0,"190,29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,1,1,0,1,047,13,1,1,1,1,1,1,3,4,1,1,3,1,"2578,00131","2578,00131","2578,00131"
02,2015,03452,02,01,09,08,108,1,08,02,2,2,0,0,0,1,0,0,01,8,01,1,,6,,,,,6,6,,,,6,0,1,"69,54",1,"103,99",1,"75,37",1,"40,19",6,0,6,0,"289,09",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,3,2,1,1,045,10,3,2,1,1,1,2,1,2,1,3,4,"1,769139","2950,644337","5220,099972","4085,372155"
02,2015,03455,01,01,07,47,108,1,02,02,1,1,0,0,0,1,0,0,01,4,05,,,6,,,,,6,6,,,,6,0,1,"42,91",1,"24,16",1,"35,39",6,0,6,0,1,"20,69","123,15",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,08,1,2,2,0,1,059,08,3,2,1,1,1,2,1,2,1,4,3,1,"1633,641609","1633,641609","1633,641609"
02,2015,03456,01,01,00,00,001,6,05,02,2,2,0,0,0,0,1,0,03,,05,,,6,,,,,6,6,,,,6,0,1,"57,95",1,"33,81",1,"46,57",1,"43,31",6,0,1,"12,99","194,63",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,09,1,1,1,0,1,034,16,2,1,1,1,1,2,1,4,1,2,9,1,"2209,547549","2209,547549","2209,547549"
02,2015,03459,01,01,02,44,108,1,12,10,6,6,1,0,0,0,0,0,11,,05,,,6,,,,,6,6,,,,6,0,6,0,1,"54,69",1,"114,29",6,0,6,0,1,"52,47","221,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,059,02,5,3,1,1,1,2,1,4,3,3,4,1,"581,5404","581,5404","581,5404"
02,2015,03462,02,01,01,18,108,1,02,10,5,5,0,1,0,0,0,0,01,4,05,,,6,,,,,6,1,,,,6,0,1,"129,84",1,"49,12",1,"190,04",6,0,6,0,6,0,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,064,14,3,2,1,1,1,2,1,4,3,2,3,1,"680,051085","680,051085","680,051085"
02,2015,03465,01,01,08,02,108,1,08,02,2,2,0,0,0,1,0,0,11,,05,,,6,,,,,6,6,,,,6,0,6,0,1,"41,1",1,"40,19",6,0,6,0,6,0,"81,29",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,1,1,0,1,033,11,5,3,1,1,1,2,1,2,2,3,1,1,"1510,566851","1510,566851","1510,566851"
02,2015,03471,01,01,01,18,108,1,07,02,2,2,0,1,1,0,0,0,01,3,05,,,6,,,,,6,6,,,,6,0,1,"58,44",1,"28,89",1,"61,31",1,"32,15",6,0,6,0,"180,79",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,1,4,4,0,2,045,14,4,2,1,1,1,2,1,2,1,4,3,1,"4636,981042","4636,981042","4636,981042"
02,2015,03474,02,01,05,38,108,1,08,10,3,3,0,0,0,1,0,0,11,,01,6,,6,,,,,6,6,,,,6,0,6,0,1,"77,52",1,"68,24",6,0,6,0,6,0,"145,76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,1,1,0,2,048,05,5,2,1,1,1,3,3,3,1,2,2,1,"1478,103839","1478,103839","1478,103839"
02,2015,03480,01,01,10,46,108,1,07,02,2,2,0,1,0,0,0,0,01,3,05,,,6,,,,,6,6,,,,6,0,1,"73,07",1,"20,61",1,"55,02",6,0,6,0,6,0,"148,7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,09,6,2,2,0,1,050,10,1,1,1,1,1,2,1,1,1,3,9,1,"1311,704709","1311,704709","1311,704709"
02,2015,03481,02,01,07,24,108,1,08,10,7,7,0,0,1,1,0,0,11,,05,,,6,,,,,1,1,,,,6,0,6,0,1,"78,75",1,"119,2",6,0,6,0,6,0,"197,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,2,055,16,1,1,1,1,1,3,3,2,1,3,3,1,"2724,629013","2724,629013","2724,629013"
02,2015,03485,01,02,10,12,108,1,07,02,1,1,0,1,0,0,0,0,10,,05,,,6,,,,,6,1,,,,6,0,6,0,1,"8,57",1,"16,17",6,0,6,0,6,0,"24,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,2,055,10,3,2,1,1,1,5,2,3,1,2,2,1,"851,896176","851,896176","851,896176"
02,2015,03492,01,01,00,00,001,6,08,02,3,3,0,1,0,0,0,0,11,,05,,,6,,,,,6,6,,,,6,0,6,0,1,"122,58",1,"94,23",6,0,6,0,6,0,"216,81",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,1,1,0,1,062,10,3,2,1,1,1,3,3,3,3,1,3,1,"497,912466","497,912466","497,912466"
02,2015,03500,01,01,02,50,108,1,08,02,1,1,0,1,1,0,0,0,11,,05,,,6,,,,,6,6,,,,6,0,6,0,1,"17,27",1,"15,54",6,0,6,0,1,"12,21","45,02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,,4,2,2,1,047,07,5,3,1,1,1,2,1,3,1,4,2,"2,099362","537,662161","1128,74751","833,204836"
02,2015,03501,01,01,10,12,108,1,08,02,1,1,0,1,0,0,0,0,01,4,05,,,6,,,,,6,6,,,,6,0,1,"55,33",1,"47,53",1,"61,66",6,0,6,0,6,0,"164,52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,2,2,0,1,053,02,2,2,1,1,1,2,1,4,1,3,4,1,"413,691716","413,691716","413,691716"
