EDAD,GASTOFI_TOTAL,test
4875,62,86,02
4877,28,178,29
4878,66,39,51
4880,70,227,4
4883,50,99,98
4888,44,64,58
4891,36,184,99
4896,62,36,02
4903,20,52,12
4918,67,450,96
4923,53,21,46
4924,43,107,8
4927,45,508,42
4929,45,172,84
4934,56,114,84
4937,34,67,11
4942,40,327,67
4954,69,97,77
4956,38,273,45
4977,50,44,21
4979,77,148,76
4992,15,165,1
4993,42,973,04
4994,66,163,51
4996,20,470,3
4999,23,314,43
5005,68,53,02
5010,56,95,82
5011,38,723,23
5013,81,20,84
5021,46,428,45
5029,72,189,33
5031,55,35,58
5034,28,42,62
5037,69,207,18
5044,18,6,97
5046,48,240,07
5056,34,26,97
5063,63,129,55
5067,59,387,57
5071,36,35,46
5073,51,238,24
5074,64,55,67
5077,42,340,73
5079,33,43,56
5089,19,67,75
5091,28,75,45
5094,41,167,67
5102,59,19,76
5114,65,51,27
5117,23,89,76
5125,38,119,8
5137,59,86,99
5141,42,138,42
5143,63,162,99
5144,43,67,69
5154,39,46,87
5155,73,29,4
5159,23,295,13
5162,61,247,4
5164,61,211,96
5166,43,104,83
5167,42,38,9
5168,54,1666,5
5169,48,13,41
5176,46,45,5
5185,42,32,89
5194,28,126,67
5195,17,141,57
5206,63,456,34
5211,16,625,14
5213,58,267,89
5216,33,178,41
5231,43,68,64
5239,24,367,95
5250,85,555,54
5253,36,17,99
5265,70,57,17
5267,38,136,5
5269,44,290,39
5275,21,45,97
5276,56,40,58
5286,60,19,45
5290,36,107,81
5296,41,401,69
5298,55,84,02
5302,32,207,96
5313,59,31,19
5321,59,9,11
5328,53,40,05
5332,53,13,42
5344,55,119,01
5345,40,90,17
5347,39,77,81
5348,33,126,24
5349,34,284,87
5351,36,106,29
5355,17,399,17
5357,42,183,54
5360,53,339,14
5366,60,28,4
5367,45,37
5380,44,58,69
5385,29,67
5388,40,24,57
5389,38,75,83
5395,57,159,43
5402,47,119,31
5411,72,777,52
5415,46,164,92
5416,30,45,68
5420,62,26,13
5422,38,41,96
5435,51,154,45
5440,67,47,37
5441,69,167,53
5443,64,16,17
5446,48,29,92
5447,23,238,69
5448,42,80,89
5451,67,132,8
5461,65,322,48
5467,27,89,3
5468,57,39,81
5474,43,29,04
5477,48,35,5
5487,58,464,94
5490,64,52,73
5491,57,76,78
5493,61,314,65
5494,22,797,3
5499,33,37,64
5504,40,56,16
5524,46,702,04
5528,42,65,31
5537,58,211,48
5540,43,19,83
5547,41,49,42
5548,31,381,13
5565,30,53,03
5566,51,170,7
5569,39,91,36
5577,85,22,83
5580,71,365,75
5600,41,190,55
5611,68,681,38
5613,37,478,1
5617,43,92,59
5628,81,46,04
5630,69,67,54
5635,32,188,21
5636,40,1709,64
5644,69,143,57
5646,45,205,69
5652,24,173,49
5653,68,225,25
5668,36,42,25
5678,24,56,41
5679,45,193,93
5686,37,36,55
5687,68,62,25
5689,67,61,78
5698,49,34,41
5703,44,245,82
5719,58,31,39
5733,67,148,68
5740,70,224,17
5742,47,131,98
5746,38,29,63
5761,67,229,56
5768,32,145,24
5776,20,21,2
5781,50,862,45
5787,72,153,54
5795,66,31,5
5799,46,871,84
5800,53,218,93
5804,63,89,01
5812,36,329,46
5815,41,34,29
5818,85,14,49
5825,55,75,84
5833,56,88,73
5836,46,180,97
5845,51,55,75
5850,34,542,04
5852,64,260,59
5856,69,78,74
5858,29,305,51
5860,36,51,43
5865,46,47,56
5876,34,264,19
5887,78,392,09
5891,31,83,29
5911,29,423,51
5912,62,70,44
5916,50,111,36
5920,58,120,46
5922,63,116,53
5940,39,97,24
5952,26,63,49
5957,57,78,61
5969,43,293,81
5975,45,134,84
5980,82,76,45
5998,46,60,96
6007,56,60,58
6012,49,155,43
6017,32,85,74
6029,21,110,82
6031,33,54,61
6034,34,195,35
6036,76,711,05
6050,72,194,35
6060,53,78,88
6077,41,211,47
6078,71,31,44
6084,44,231,68
6086,34,75,51
6088,35,196,43
6104,38,226,07
6138,34,58,44
6145,36,343,21
6149,41,126,37
6168,67,55,04
6171,35,182,66
6176,53,112,5
6179,15,20,68
6183,47,838,82
6191,58,46,47
6200,54,263,82
6203,71,67,56
6208,60,92,46
6219,51,195,63
6220,59,283,71
6227,40,780,84
6232,63,100,17
6239,30,27,83
6252,64,1373,55
6254,55,160,42
6257,45,121,4
6258,47,185,23
6263,20,95,2
6267,39,202,34
6272,35,220,22
6276,48,299,36
6283,39,38,75
6286,49,312,51
6289,85,61,34
6295,56,112,28
6299,36,479,79
6303,82,45,94
6306,64,285,36
6317,35,14,1
6323,54,142,81
6335,44,342,97
6341,41,161,5
6346,35,26,29
6347,47,31,66
6354,53,396,02
6375,61,24,01
6385,50,146,68
6391,67,24,81
6408,38,26,05
6422,51,185,28
6432,43,27,22
6435,51,32,22
6438,49,147,88
6442,35,51,87
6453,40,288,32
6457,21,294,28
6460,17,595,76
6464,35,123,05
6465,66,64,1
6473,56,1563,37
6475,65,109,01
6479,52,315,49
6481,39,201,09
6505,71,73,27
6508,60,75,02
6513,28,147,7
6514,29,585,28
6524,57,24,32
6525,33,205,21
6528,33,57,95
6534,38,223,8
6536,39,87,22
6544,49,78,51
6545,54,206,69
6547,34,44,56
6558,53,52,86
6562,64,29,68
6565,45,95,33
6570,63,578,76
6571,50,41,82
6573,38,148,3
6575,45,44,3
6578,15,17,51
6580,39,66,2
6582,50,384,31
6586,46,328,72
6588,64,555,34
6598,41,1348,37
6604,52,339,86
6618,43,60,66
6625,33,210,9
6628,34,71,71
6637,50,63,27
6639,48,37,67
6650,80,255,34
6652,45,68,24
6654,44,207,55
6659,85,268,44
6660,55,74,51
6666,45,45,84
6669,58,1546,04
6675,36,620,5
6676,40,54,34
6682,58,114,51
6683,57,67,89
6688,37,38,09
6698,72,40,81
6700,41,278,54
6701,57,40,69
6702,37,259,31
6704,40,278,47
6705,69,164,07
6708,55,191,8
6710,28,258,35
6715,77,47,35
6720,36,65,27
6722,61,187,85
6723,79,33,41
6725,50,50,8
6739,19,309,45
6741,40,174,42
6745,68,52,77
6750,37,51,61
6753,40,176,52
6755,62,97,64
6763,46,106,85
6764,40,139,75
6770,53,78,94
6775,70,29,16
6781,60,99,19
6782,36,33,53
6802,33,101,86
6806,50,203,05
6823,26,222,66
6848,59,113,95
6860,56,193,6
6874,46,15,67
6890,22,97,98
6893,26,241,95
6898,16,16,9
6906,33,52,5
6915,45,1215,2
6925,47,38,64
6929,44,228,57
6936,57,471,81
6944,57,384,41
6945,61,92,64
6957,16,493,41
6958,43,34,05
6959,60,267,48
6961,65,620,73
6980,56,34,73
6981,73,126,81
6984,81,69,05
6991,40,73,35
7014,43,79,39
7016,43,372,97
7022,55,59,38
7023,36,149,2
7041,52,71,01
7043,41,135,61
7045,66,181,78
7051,42,86,74
7056,58,33,23
7060,52,147,67
7076,39,97,44
7079,70,82,66
7083,35,27,89
7095,37,142,73
7097,43,166,41
7103,37,11,69
7107,53,68,68
7108,41,100,19
7117,54,179,26
7125,51,16,1
7127,38,87,07
7130,58,47,68
7131,66,60,26
7132,51,148,26
7136,56,48,52
7138,45,184,38
7139,49,168,65
7150,35,140,55
7155,35,344,92
7157,63,63,07
7164,45,24,05
7177,47,116,92
7193,58,62,41
7224,38,40,59
7226,59,116,87
7231,26,191,43
7236,79,326,41
7249,41,76,88
7266,37,31,52
7279,53,40,75
7284,49,67,58
7289,66,191,62
7298,54,293,8
7299,35,32,83
7306,48,2401,59
7308,38,14,34
7312,55,92,1
7318,35,29,61
7320,30,221,48
7323,49,52,7
7329,37,375,53
7351,28,38,13
7357,56,321,74
7363,59,498,05
7365,34,104,65
7366,64,305,12
7370,21,61,74
7379,33,98,09
7385,70,70,79
7386,45,83,18
7393,53,195,76
7403,39,176,67
7404,65,538,47
7406,29,132,72
7411,48,100,21
7415,36,140,25
7424,52,1222,47
7427,54,401,05
7428,46,47,32
7440,56,150,71
7453,75,184,29
7456,41,33,18
7476,57,227,91
7488,49,175,07
7498,72,2413,53
7500,65,439,1
7507,35,618,58
7510,18,126,28
7511,29,48,95
7525,35,141,16
7526,24,27,38
7527,45,128,26
7531,16,477,79
7532,46,137,96
7545,51,49,12
7547,61,285
7559,22,632,01
7567,50,92,76
7569,83,54,73
7573,38,22,51
7589,27,72,65
7594,53,25,52
7595,78,402,48
7596,38,233,42
7616,79,513,67
7621,36,12,87
7628,35,298,13
7629,70,29,19
7630,52,30,52
7641,20,23,11
7643,26,253,16
7645,42,40,49
7646,44,212,82
7649,46,27,88
7652,43,270,74
7660,17,29,15
7663,49,34,78
7670,63,46
7671,56,38,2
7675,28,117,08
7684,41,133,13
7687,35,76,67
7697,45,471,73
7698,49,180,96
7706,19,183,29
7710,37,532,72
7718,15,22,17
7719,28,60,17
7720,51,443,89
7724,23,146,83
7734,39,40,3
7740,57,58,24
7741,44,72,02
7745,78,52,8
7747,24,192,12
7760,31,114,81
7762,55,40,59
7769,19,61,9
7773,42,176,89
7785,16,173,16
7789,39,81,83
7795,50,124,77
7798,40,130,66
7802,38,27,41
7805,52,849,89
7806,61,46,71
7815,35,43,18
7821,45,156,47
7826,35,328,44
7831,38,51,76
7834,25,107,73
7852,45,19,49
7854,47,30,9
7857,46,155,36
7862,57,162,61
7863,44,10,99
7873,79,573,12
7875,30,84,6
7877,45,35,91
7885,37,118,6
7888,59,282,23
7903,36,32,58
7911,64,162,7
7917,55,200,09
7922,40,83,03
7924,66,136,28
7928,60,99,27
7931,45,403,03
7932,33,214,68
7945,67,145,92
7946,48,280,37
7953,48,19,01
7957,40,113,87
7960,75,42,37
7963,38,92,25
7973,55,2688,58
7983,43,140,85
7995,37,209,6
8002,43,58,33
8021,60,210,25
8022,56,175,09
